month_num,month,avg_daylight_hours,total_precip_inches,rainy_days,heavy_rain_days,avg_cloudcover_pct,cloudy_days_75pct_plus,avg_solarenergy_MJ_m2,avg_temp_f,days_in_month
1,Jan,8.96,1.11,12,3,58.8,15,4.1,39.6,31
2,Feb,10.3,1.9,17,6,73.4,20,5.5,41.2,28
3,Mar,11.96,3.27,21,12,80.3,22,8.7,47.7,31
4,Apr,13.69,2.13,12,7,53.5,13,16.4,52.4,30
5,May,15.17,0.87,10,2,52.8,9,19.9,57.2,31
6,Jun,15.92,0.21,3,1,46.5,10,22.5,63.4,30
7,Jul,15.51,0.0,1,0,30.7,2,23.2,68.1,31
8,Aug,14.19,0.62,5,1,43.3,7,18.4,69.3,31
9,Sep,12.53,0.54,5,2,40.8,6,13.9,64.4,30
10,Oct,10.81,2.65,16,8,58.8,13,8.0,53.3,31
11,Nov,9.29,3.57,17,8,75.7,20,3.5,49.3,30
12,Dec,8.5,5.83,24,15,80.9,21,2.2,45.6,31
